INFO: setting server port as: 5001
INFO: Waiting for incoming connection...
R38:11006.387955,0.111788,11007.025337,11007.137126
R39:11006.425150,0.036419,11007.159285,11007.195707
R40:11006.538683,0.015124,11007.197293,11007.212418
R41:11006.668083,0.176741,11007.213288,11007.390032
R42:11006.732555,0.033415,11007.391142,11007.424558
R43:11006.928945,0.186534,11007.425296,11007.611832
R44:11006.957852,0.096708,11007.613380,11007.710102
R45:11007.005793,0.074024,11007.711156,11007.785182
R46:11007.354120,0.163059,11007.786202,11007.949262
R47:11007.473161,0.214719,11007.950285,11008.165029
R48:11007.537546,0.140512,11008.166671,11008.307185
R49:11007.594072,0.201567,11008.308571,11008.510139
R50:11007.722195,0.020260,11008.511240,11008.531501
R51:11007.795411,0.210611,11008.532490,11008.743102
R52:11008.128875,0.177430,11008.745609,11008.923041
R53:11008.146650,0.047129,11008.925000,11008.972374
R54:11008.260538,0.027498,11008.974133,11009.001633
R55:11008.368092,0.030616,11009.002665,11009.033281
R56:11008.539434,0.021360,11009.034168,11009.055530
R57:11008.605309,0.026941,11009.056816,11009.083758
R58:11008.628426,0.044893,11009.084987,11009.129881
R59:11008.718806,0.197754,11009.131319,11009.329087
R60:11008.739504,0.011230,11009.330430,11009.341661
R61:11008.751655,0.119092,11009.342371,11009.461463
R62:11008.827693,0.227786,11009.462673,11009.690479
R63:11009.292561,0.040266,11009.691798,11009.732065
R64:11009.420783,0.038326,11009.733179,11009.771507
R65:11009.574772,0.022026,11009.772725,11009.794752
R66:11009.613524,0.023355,11009.795737,11009.819093
R67:11009.711150,0.109777,11009.819646,11009.929424
R68:11009.729538,0.131443,11009.930983,11010.062427
R69:11009.744450,0.113898,11010.063683,11010.177582
R70:11009.764394,0.249818,11010.178975,11010.428795
R71:11009.773825,0.061436,11010.429946,11010.491383
R72:11009.779847,0.022877,11010.493382,11010.516259
R73:11009.801398,0.109934,11010.517163,11010.627099
R74:11009.979047,0.285300,11010.628384,11010.913686
R75:11010.097844,0.118834,11010.914918,11011.033754
R76:11010.211236,0.012076,11011.034736,11011.046813
R77:11010.222154,0.006788,11011.047377,11011.054166
R78:11010.303768,0.019082,11011.056166,11011.075249
R79:11010.311832,0.142751,11011.075950,11011.218702
R80:11010.380598,0.117406,11011.219925,11011.337332
R81:11010.475252,0.014312,11011.338634,11011.352948
R82:11010.481192,0.019047,11011.353655,11011.372703
R83:11011.809551,0.011172,11011.809682,11011.820856
R84:11012.054851,0.004631,11012.054922,11012.059555
R85:11012.734804,0.006256,11012.734931,11012.741190
R86:11012.962038,0.213737,11012.962111,11013.175851
R87:11012.962523,0.016575,11013.177182,11013.193766
R88:11013.062660,0.041423,11013.194443,11013.235867
R89:11013.082465,0.142759,11013.236565,11013.379325
R90:11013.353874,0.067004,11013.380248,11013.447253
R91:11013.403352,0.050211,11013.448230,11013.498442
